asset_name,assets,bea_asset_code,delta,major_asset_group,GDS Class Life,GDS Life,ADS Life,System,Method
Aerospace products and parts manufacturing,33211530576,RD32,0.22,Intellectual Property,7,7,10,GDS,Expensing
Air transportation,26676130902,SB43,0.0237,Structures,39,39,40,GDS,SL
Aircraft,2.66E+11,ET30,0.0859,Equipment,5,5,6,GDS,DB 200%
"All other nonmanufacturing, n.e.c.",86239268421,RD80,0.16,Intellectual Property,5,5,6,GDS,Expensing
Amusement and recreation,1.63E+11,SB42,0.03,Structures,7,7,10,GDS,DB 200%
Autos,1.36E+11,ET20,0.3333,Equipment,5,5,5,GDS,DB 200%
Books,67646468506,AE30,0.121,Intellectual Property,15,15,15,GDS,Economic
"Chemical manufacturing, ex. pharma and med",54399224281,RD12,0.16,Intellectual Property,5,5,9.5,GDS,Expensing
Communication,5.79E+11,SU20,0.0237,Structures,15,15,6,GDS,DB 150%
Communications,4.98E+11,EP20,0.1129,Equipment,7,7,10,GDS,DB 200%
Communications equipment manufacturing,38393784819,RD22,0.27,Intellectual Property,5,5,6,GDS,Expensing
Computer systems design and related services,6318822870,RD60,0.36,Intellectual Property,3,3,3,GDS,SL
Computers and peripheral equipment manufacturing,9567048385,RD21,0.4,Intellectual Property,5,5,6,GDS,Expensing
Construction tractors,9895536360,EO22,0.1633,Equipment,5,5,4,GDS,DB 200%
Custom software,1.97E+11,ENS2,0.33,Equipment,3,3,3,GDS,SL
DASDs,0,EP1C,0.4633,Equipment,5,5,5,GDS,DB 200%
Educational and vocational,2.83E+11,SB20,0.0188,Structures,39,39,40,GDS,SL
Electric,1.05E+12,SU30,0.0211,Structures,15,15,19,GDS,DB 150%
Electric transmission and distribution,4.23E+11,EI60,0.05,Equipment,15,15,30,GDS,DB 150%
Electro medical instruments,75049828223,EP35,0.135,Equipment,7,7,5,GDS,DB 200%
Farm,1.10E+11,SN00,0.0239,Structures,20,20,25,GDS,DB 150%
Farm tractors,24563500689,EO21,0.1452,Equipment,7,7,10,GDS,DB 200%
Financial and real estate services,6097212064,RD50,0.16,Intellectual Property,5,5,6,GDS,Expensing
Food and beverage establishments,1.78E+11,SC04,0.0262,Structures,39,39,40,GDS,SL
Gas,3.66E+11,SU40,0.0751,Structures,5,5,14,GDS,DB 200%
General industrial equipment,4.76E+11,EI50,0.1072,Equipment,7,7,9,GDS,DB 200%
Highway and conservation and development,22901934534,SO04,0.0225,Structures,15,15,20,GDS,DB 150%
Hospitals,3.21E+11,SB31,0.0188,Structures,39,39,40,GDS,SL
Household appliances,2759304252,EO71,0.165,Equipment,5,5,9,GDS,DB 200%
Household furniture,8900871527,EO11,0.1375,Equipment,5,5,9,GDS,DB 200%
Internal combustion engines,12363020746,EI22,0.2063,Equipment,7,7,20,GDS,DB 200%
Inventories,1.54E+12,INV,0,Inventories,100,100,100,GDS,Inventory
Land,3.59E+12,LAND,0,Land,100,100,100,GDS,Land
Light trucks (including utility vehicles),1.68E+11,ET11,0.1725,Equipment,5,5,5,GDS,DB 200%
Local transit structures,9253082152,SB44,0.0237,Structures,39,39,40,GDS,SL
Lodging,1.72E+11,SB41,0.0281,Structures,39,39,40,GDS,SL
Long-lived television programs,1.45E+11,AE20,0.168,Intellectual Property,15,15,15,GDS,Economic
Mainframes,17413293619,EP1A,0.4633,Equipment,5,5,5,GDS,DB 200%
Manufacturing,1.10E+12,SI00,0.0314,Structures,39,39,40,GDS,SL
Medical buildings,1.09E+11,SOO2,0.0247,Structures,39,39,40,GDS,SL
Metalworking machinery,2.19E+11,EI30,0.1225,Equipment,7,7,14,GDS,DB 200%
Mining,82930242551,SM02,0.045,Structures,7,7,10,GDS,DB 200%
Mining and oilfield machinery,84858812351,EO50,0.15,Equipment,7,7,10,GDS,DB 200%
